fig_high,fig_low,x_electrode,y_electrode,torch_none,torch_left,torch_right,wire_none,wire_up,wire_down,wire_left,wire_right,osillation_None,osillation_out,osillation_in,osillation_move,osillation_out_stop,osillation_in_stop,welding_None,current_up,current_down,voltage_up,voltage_down,speed_up,speed_down,wire_feed_up,wire_feed_down,torch_control,wire_control,osillation_control,welding_control,current_pass_inner_or_center_or_outer,p_current,b_current,hot_wire,voltage,welding_speed,p_wire,b_wire,waving_width_out,waving_width_in,waving_moving_time,waving_stop_time_out,waving_stop_time_in,electlode_dia,electlode_shape,A_current_p_signal,A_osillation_out_signal,A_osillation_in_signal,A_welding_torch_position,A_current,A_voltage
20200207142056081_00070291_1_1413.jpg,20200207142056057_00070290_0_235.jpg,1138,495,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,-0.001,-0.0,-0.006999999999999999,-0.075,1.74,2.021
20200207142056151_00070294_1_1413.jpg,20200207142056125_00070293_0_235.jpg,1138,499,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,4.995,0.004,4.997,-0.07400000000000001,2.719,2.3890000000000002
20200207142056220_00070297_1_912.jpg,20200207142056195_00070296_0_152.jpg,1138,499,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,4.995,0.001,4.998,-0.075,2.7289999999999996,2.346
20200207142056291_00070300_1_855.jpg,20200207142056268_00070299_0_142.jpg,1138,499,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,4.998,-0.001,4.997,-0.073,2.713,2.351
20200207142056362_00070303_1_855.jpg,20200207142056340_00070302_0_142.jpg,1138,499,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,4.997,0.008,4.999,-0.07400000000000001,2.718,2.35
20200207142056431_00070306_1_855.jpg,20200207142056408_00070305_0_142.jpg,1138,499,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,4.998,-0.001,4.992,-0.075,2.717,2.322
20200207142056503_00070309_1_926.jpg,20200207142056477_00070308_0_154.jpg,1138,499,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,4.996,-0.001,4.992,-0.073,2.719,2.323
20200207142056571_00070312_1_926.jpg,20200207142056548_00070311_0_154.jpg,1138,499,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,4.99,0.0,4.998,-0.075,2.719,2.3209999999999997
20200207142056643_00070315_1_815.jpg,20200207142056618_00070314_0_135.jpg,1138,499,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,0.001,-0.008,0.002,-0.07400000000000001,1.7719999999999998,1.976
20200207142056714_00070318_1_1323.jpg,20200207142056689_00070317_0_220.jpg,1138,498,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,0.001,0.002,-0.009000000000000001,-0.073,1.74,1.973
20200207142056783_00070321_1_1533.jpg,20200207142056759_00070320_0_255.jpg,1138,493,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,-0.002,-0.001,0.002,-0.073,1.74,2.0
20200207142056852_00070324_1_1533.jpg,20200207142056827_00070323_0_255.jpg,1138,490,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,-0.001,-0.001,0.0,-0.07400000000000001,1.7380000000000002,1.999
20200207142056921_00070327_1_1533.jpg,20200207142056896_00070326_0_255.jpg,1138,490,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,0.016,-0.001,0.001,-0.07200000000000001,1.7369999999999999,2.0
20200207142056991_00070330_1_1456.jpg,20200207142056965_00070329_0_242.jpg,1138,494,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,-0.004,-0.0,0.0,-0.075,1.742,2.024
20200207142057062_00070333_1_1456.jpg,20200207142057037_00070332_0_242.jpg,1138,490,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,-0.001,0.002,0.001,-0.07400000000000001,1.732,2.063
20200207142057131_00070336_1_1334.jpg,20200207142057106_00070335_0_222.jpg,1138,494,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,4.997,5.001,-0.019,-0.07400000000000001,2.249,2.28
20200207142057200_00070339_1_895.jpg,20200207142057175_00070338_0_149.jpg,1138,494,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,4.997,4.999,0.003,-0.07400000000000001,2.718,2.374
20200207142057271_00070342_1_4797.jpg,20200207142057244_00070341_0_133.jpg,1138,494,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,5.0,4.997,-0.011000000000000001,-0.077,2.719,2.347
20200207142057336_00070345_1_799.jpg,20200207142057314_00070344_0_133.jpg,1138,494,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,4.999,4.998,-0.001,-0.076,2.713,2.36
20200207142057409_00070348_1_799.jpg,20200207142057384_00070347_0_133.jpg,1138,494,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,4.993,4.999,0.002,-0.07400000000000001,2.715,2.325
20200207142057475_00070351_1_867.jpg,20200207142057453_00070350_0_144.jpg,1138,494,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,4.994,5.001,-0.001,-0.073,2.722,2.3209999999999997
20200207142057546_00070354_1_923.jpg,20200207142057521_00070353_0_153.jpg,1138,494,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,83,70,950,650,0,0,50,50,50,1,1,5.005,4.997,-0.001,-0.07400000000000001,2.7110000000000003,2.315
20200207142057615_00070357_1_923.jpg,20200207142057592_00070356_0_153.jpg,1138,494,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,260,165,0,84,70,950,650,0,0,50,50,50,1,1,0.0,-0.001,0.002,-0.075,2.717,2.324
20200207142057686_00070360_1_1647.jpg,20200207142057662_00070359_0_274.jpg,1138,491,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,260,165,0,84,70,950,650,0,0,50,50,50,1,1,0.0,-0.002,-0.006999999999999999,-0.07400000000000001,1.736,1.986
20200207142057756_00070363_1_1647.jpg,20200207142057731_00070362_0_274.jpg,1138,490,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,260,165,0,84,70,950,650,0,0,50,50,50,1,1,0.001,-0.001,-0.008,-0.079,1.7409999999999999,2.021
20200207142057825_00070366_1_1537.jpg,20200207142057801_00070365_0_256.jpg,1138,488,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,260,165,0,84,70,950,650,0,0,50,50,50,1,1,0.006999999999999999,-0.0,0.001,-0.071,1.722,2.022
